type	typeLabel	subtype	subtypeLabel
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q443	Ich bin ein Berliner
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q160211	Schumanplan
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q192341	I Have a Dream
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q214524	Gettysburg Address
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q570589	Poznan-toespraken
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q3922215	Pro Archia Poeta
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q3406978	Programma van Belleville
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q749054	Philippica
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q595064	Regensburglezing
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q1165372	Over persoonsverheerlijking en diens gevolgen
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q1145411	Grito de Dolores
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q15877576	Kromhoutlezing
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q1495943	Gaudet Mater Ecclesia
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q1572233	We Shall Fight on the Beaches
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q1994106	Tear down this wall!
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q1559179	Pro Caelio
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q2263227	Ketelaarlezing
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q2375242	This was their finest hour
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q2780599	Anna Reynvaan Lezing
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q2309861	Nostis perfecto
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q5348232	deductie van Johan de Witt
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q3161519	Tenterfield Oration
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q3389637	Toespraak van Seraing
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q7603836	Staatsrede
http://www.wikidata.org/entity/Q861911	redevoering	http://www.wikidata.org/entity/Q7811223	An meine V̦lker
